
Actual data:
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9952
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9972
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9992
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10012
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10033
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10052
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10073
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10093
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10113
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10133
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10153
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10173
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10193
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10214
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10233
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10254
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10274
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10294
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10314
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10335
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10354
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10375
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10395
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10415
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10435
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10456
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10475
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10496
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10516
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10535
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10556
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10576
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10596
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10616
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10637
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10656
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10677
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10697
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10717
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10737
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10758
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	10777
