serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93660
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93680
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93700
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93720
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93741
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93760
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93780
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93801
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93820
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93841
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93861
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93881
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93901
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93922
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93941
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93962
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93982
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94002
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94022
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94043
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94062
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94083
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94103
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94123
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94143
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94163
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94183
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94203
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94224
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94243
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94264
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94284
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94304
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94324
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94345
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94364
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94385
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94405
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94425
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94445
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94466
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94485
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94505
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94526
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94545
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94566
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94586
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94606
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94626
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94647
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94666
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94687
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94707
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94727
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94747
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94768
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94787
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94808
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94828
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94848
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94868
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94888
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94908
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94928
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94949
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94968
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	94989
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95009
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95029
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95049
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95070
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95089
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95110
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95130
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95150
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95170
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95191
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95210
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95230
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95251
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95270
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95291
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95311
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95331
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95351
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95372
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95391
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95412
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95432
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95452
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95472
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95493
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95512
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95533
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95553
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95572
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95593
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95613
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	95633
